Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,fixQuality,numSats,latitude,longitude,altitude,max_altitude,hours,minutes,seconds,PAD,PAD,Packet (hex)
416,OK,3305402298,43690,170,5,5,162,37619,83390101536,8137373365,3305402298,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,6,223,438518026,020000000900000061c6034242d8d5c28cdbb03fc1cab13f0d0f06df0a41231aaaaaaa0505a2f39220f86f6a13000000b57606e501000000ba6f04c5cccccccc
422,OK,1582446548,43690,170,5,5,162,37619,83391152555,8138424383,1582446548,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,7,223,438518026,020000000900000061c6034242d8d5c28cdbb03fc1cab13f0d0f07df0a41231aaaaaaa0505a2f392ab01806a130000003f8016e501000000d437525ecccccccc
428,OK,1065610872,43690,170,5,5,162,37619,83392154539,8139426368,1065610872,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,8,223,438518026,020000000900000061c6034242d8d5c28cdbb03fc1cab13f0d0f08df0a41231aaaaaaa0505a2f392ab4b8f6a1300000040ca25e50100000078ee833fcccccccc
434,OK,2656707031,43690,170,5,5,162,37619,83393154554,8140426383,2656707031,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,9,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f09df0a41231aaaaaaa0505a2f392fa8d9e6a130000008f0c35e501000000d7215a9ecccccccc
440,OK,3054932519,43690,170,5,5,162,37619,83394105647,8141377475,3054932519,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,10,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0adf0a41231aaaaaaa0505a2f3922f11ad6a13000000c38f43e501000000279216b6cccccccc
446,OK,665013833,43690,170,5,5,162,37619,83395157525,8142429354,665013833,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,11,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0bdf0a41231aaaaaaa0505a2f392151ebd6a13000000aa9c53e501000000494ea327cccccccc
452,OK,1635787389,43690,170,5,5,162,37619,83396209237,8143481066,1635787389,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,12,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0cdf0a41231aaaaaaa0505a2f392552acd6a13000000eaa863e5010000007d228061cccccccc
458,OK,4176381788,43690,170,5,5,162,37619,83397158213,8144430042,4176381788,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,13,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0ddf0a41231aaaaaaa0505a2f39245a5db6a13000000da2372e5010000005c87eef8cccccccc
464,OK,546929657,43690,170,5,5,162,37619,83398109246,8145381075,546929657,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,14,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0edf0a41231aaaaaaa0505a2f3923e28ea6a13000000d3a680e501000000f97b9920cccccccc
470,OK,3967584181,43690,170,5,5,162,37619,83399160221,8146432049,3967584181,3435973836,2,9,32.943729400634766,-106.92237854003906,1.381600022315979,1.3890000581741333,13,15,15,223,438518026,020000000900000061c6034242d8d5c245d8b03fc1cab13f0d0f0fdf0a41231aaaaaaa0505a2f3929d31fa6a1300000031b090e501000000b5877ceccccccccc
