Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
377,OK,3299101883,43690,170,5,6,0,0,83383975858,8131247686,3299101883,3435973836,1371.76806640625,85901,17.40999984741211,2147483647,9478ab448d4f0100ae478b41ffffff7faaaaaa0506000000b27f126a1300000046fea8e401000000bb4ca4c4cccccccc
383,OK,2733895263,43690,170,5,6,0,0,83384975919,8132247747,2733895263,3435973836,1371.29248046875,85902,17.420000076293945,2147483647,5c69ab448e4f0100295c8b41ffffff7faaaaaa05060000002fc2216a13000000c340b8e4010000005feef3a2cccccccc
389,OK,2066914064,43690,170,5,6,0,0,83385976925,8133248753,2066914064,3435973836,1371.4827880859375,85904,17.420000076293945,2147483647,736fab44904f0100295c8b41ffffff7faaaaaa05060000005d08316a13000000f186c7e401000000109b327bcccccccc
395,OK,1634800022,43690,170,5,6,0,0,83386977970,8134249798,1634800022,3435973836,1371.4827880859375,85901,17.420000076293945,2147483647,736fab448d4f0100295c8b41ffffff7faaaaaa0506000000b24e406a1300000046cdd6e40100000096117161cccccccc
401,OK,3570634487,43690,170,5,6,0,0,83387980037,8135251865,3570634487,3435973836,1371.4827880859375,85904,17.420000076293945,2147483647,736fab44904f0100295c8b41ffffff7faaaaaa050600000005994f6a130000009917e6e401000000f78ed3d4cccccccc
407,OK,3412437943,43690,170,5,6,0,0,83388980109,8136251937,3412437943,3435973836,1371.29248046875,85904,17.43000030517578,2147483647,5c69ab44904f0100a4708b41ffffff7faaaaaa05060000008ddb5e6a13000000215af5e401000000b7ab65cbcccccccc
413,OK,679727227,43690,170,5,6,0,0,83389980826,8137252654,679727227,3435973836,1371.3875732421875,85902,17.43000030517578,2147483647,676cab448e4f0100a4708b41ffffff7faaaaaa05060000009a206e6a130000002e9f04e5010000007bd08328cccccccc
419,OK,2217892039,43690,170,5,6,0,0,83390981830,8138253658,2217892039,3435973836,1371.1973876953125,85904,17.43000030517578,2147483647,5166ab44904f0100a4708b41ffffff7faaaaaa0506000000c6667d6a130000005ae513e501000000c7583284cccccccc
425,OK,3575681087,43690,170,5,6,0,0,83391983853,8139255681,3575681087,3435973836,1371.3875732421875,85904,17.440000534057617,2147483647,676cab44904f01001f858b41ffffff7faaaaaa0506000000edb08c6a13000000812f23e5010000003f9020d5cccccccc
431,OK,993163330,43690,170,5,6,0,0,83392983959,8140255787,993163330,3435973836,1371.29248046875,85905,17.440000534057617,2147483647,5c69ab44914f01001f858b41ffffff7faaaaaa050600000097f39b6a130000002b7232e5010000004278323bcccccccc
437,OK,2431345097,43690,170,5,6,0,0,83393984832,8141256660,2431345097,3435973836,1371.29248046875,85904,17.43000030517578,2147483647,5c69ab44904f0100a4708b41ffffff7faaaaaa05060000004039ab6a13000000d4b741e501000000c961eb90cccccccc
443,OK,2736008642,43690,170,5,6,0,0,83394985845,8142257673,2736008642,3435973836,1371.3875732421875,85901,17.440000534057617,2147483647,676cab448d4f01001f858b41ffffff7faaaaaa0506000000757fba6a1300000009fe50e501000000c22d14a3cccccccc
449,OK,432943817,43690,170,5,6,0,0,83395987852,8143259680,432943817,3435973836,1371.1973876953125,85902,17.440000534057617,2147483647,5166ab448e4f01001f858b41ffffff7faaaaaa05060000008cc9c96a13000000204860e501000000c932ce19cccccccc
455,OK,3874470339,43690,170,5,6,0,0,83396988010,8144259838,3874470339,3435973836,1371.102294921875,85902,17.440000534057617,2147483647,4663ab448e4f01001f858b41ffffff7faaaaaa05060000006a0cd96a13000000fe8a6fe501000000c3b9efe6cccccccc
461,OK,363210386,43690,170,5,6,0,0,83397988918,8145260746,363210386,3435973836,1371.102294921875,85899,17.43000030517578,2147483647,4663ab448b4f0100a4708b41ffffff7faaaaaa05060000003652e86a13000000cad07ee5010000009226a615cccccccc
467,OK,3851450271,43690,170,5,6,0,0,83398989956,8146261784,3851450271,3435973836,1371.3875732421875,85908,17.440000534057617,2147483647,676cab44944f01001f858b41ffffff7faaaaaa05060000008498f76a1300000018178ee5010000009f7790e5cccccccc
473,OK,4101511926,43690,170,5,6,0,0,83399992032,8147263860,4101511926,3435973836,1371.1973876953125,85901,17.43000030517578,2147483647,5166ab448d4f0100a4708b41ffffff7faaaaaa0506000000e0e2066b1300000074619de501000000f61a78f4cccccccc
479,OK,2400740798,43690,170,5,6,0,0,83400991929,8148263757,2400740798,3435973836,1371.007080078125,85903,17.440000534057617,2147483647,3a60ab448f4f01001f858b41ffffff7faaaaaa0506000000b924166b130000004da3ace501000000be65188fcccccccc
485,OK,3361796176,43690,170,5,6,0,0,83401992838,8149264666,3361796176,3435973836,1370.9119873046875,85903,17.440000534057617,2147483647,2f5dab448f4f01001f858b41ffffff7faaaaaa0506000000866a256b130000001ae9bbe50100000050f060c8cccccccc
491,OK,3232855498,43690,170,5,6,0,0,83402993840,8150265668,3232855498,3435973836,1371.1973876953125,85903,17.440000534057617,2147483647,5166ab448f4f01001f858b41ffffff7faaaaaa0506000000b0b0346b13000000442fcbe501000000ca75b1c0cccccccc
497,OK,3995159514,43690,170,5,6,0,0,83403996021,8151267849,3995159514,3435973836,1371.007080078125,85904,17.440000534057617,2147483647,3a60ab44904f01001f858b41ffffff7faaaaaa050600000075fb436b13000000097adae501000000da4b21eecccccccc
503,OK,2244271903,43690,170,5,6,0,0,83404996047,8152267875,2244271903,3435973836,1370.81689453125,85905,17.440000534057617,2147483647,245aab44914f01001f858b41ffffff7faaaaaa0506000000cf3d536b1300000063bce9e5010000001fdfc485cccccccc
509,OK,3106256228,43690,170,5,6,0,0,83405996834,8153268662,3106256228,3435973836,1370.81689453125,85902,17.450000762939453,2147483647,245aab448e4f01009a998b41ffffff7faaaaaa05060000002283626b13000000b601f9e50100000064b525b9cccccccc
515,OK,3611777153,43690,170,5,6,0,0,83406998020,8154269848,3611777153,3435973836,1371.1973876953125,85904,17.450000762939453,2147483647,5166ab44904f01009a998b41ffffff7faaaaaa050600000004ca716b13000000984808e601000000815847d7cccccccc
