Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
412,OK,1397221288,43690,170,5,3,127,4096,83389979734,8137251562,1397221288,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f0010561c6e6a13000000ea9a04e501000000a8e74753cccccccc
418,OK,2461278847,43690,170,5,3,127,4096,83390980738,8138252566,2461278847,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f001082627d6a1300000016e113e5010000007f22b492cccccccc
424,OK,365255601,43690,170,5,3,127,4096,83391982762,8139254590,365255601,3435973836,0,0,14,4096,000000000e000010aaaaaa05037f0010aaac8c6a130000003e2b23e501000000b15bc515cccccccc
430,OK,3025013128,43690,170,5,3,127,4096,83392982868,8140254696,3025013128,3435973836,-4,2,14,4096,fcff02000e000010aaaaaa05037f001054ef9b6a13000000e86d32e50100000088094eb4cccccccc
436,OK,2402597304,43690,170,5,3,127,4096,83393983741,8141255569,2402597304,3435973836,2,0,18,4096,0200000012000010aaaaaa05037f0010fd34ab6a1300000091b341e501000000b8b9348fcccccccc
442,OK,1938442885,43690,170,5,3,127,4096,83394984753,8142256581,1938442885,3435973836,-4,0,18,4096,fcff000012000010aaaaaa05037f0010317bba6a13000000c5f950e501000000854a8a73cccccccc
448,OK,3725413812,43690,170,5,3,127,4096,83395986760,8143258588,3725413812,3435973836,2,0,18,4096,0200000012000010aaaaaa05037f001048c5c96a13000000dc4360e501000000b44d0ddecccccccc
454,OK,2568364357,43690,170,5,3,127,4096,83396986917,8144258746,2568364357,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f00102508d96a13000000ba866fe50100000045211699cccccccc
460,OK,2618686428,43690,170,5,3,127,4096,83397987826,8145259654,2618686428,3435973836,4,0,18,4096,0400000012000010aaaaaa05037f0010f24de86a1300000086cc7ee501000000dcfb159ccccccccc
466,OK,3646167409,43690,170,5,3,127,4096,83398988865,8146260693,3646167409,3435973836,0,0,16,4096,0000000010000010aaaaaa05037f00104194f76a13000000d5128ee501000000711954d9cccccccc
472,OK,1066514461,43690,170,5,3,127,4096,83399990940,8147262768,1066514461,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f00109cde066b13000000305d9de5010000001db8913fcccccccc
478,OK,877409578,43690,170,5,3,127,4096,83400990838,8148262666,877409578,3435973836,2,4,14,4096,020004000e000010aaaaaa05037f00107620166b130000000a9face5010000002a354c34cccccccc
484,OK,3754880074,43690,170,5,3,127,4096,83401991745,8149263573,3754880074,3435973836,2,0,10,4096,020000000a000010aaaaaa05037f00104166256b13000000d5e4bbe5010000004aeccedfcccccccc
490,OK,2687012875,43690,170,5,3,127,4096,83402992748,8150264576,2687012875,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f00106cac346b13000000002bcbe5010000000b9028a0cccccccc
496,OK,614366350,43690,170,5,3,127,4096,83403994929,8151266757,614366350,3435973836,2,0,16,4096,0200000010000010aaaaaa05037f001031f7436b13000000c575dae5010000008e7c9e24cccccccc
502,OK,731664983,43690,170,5,3,127,4096,83404994956,8152266784,731664983,3435973836,0,2,16,4096,0000020010000010aaaaaa05037f00108c39536b1300000020b8e9e50100000057529c2bcccccccc
508,OK,2990397374,43690,170,5,3,127,4096,83405995742,8153267570,2990397374,3435973836,0,0,16,4096,0000000010000010aaaaaa05037f0010de7e626b1300000072fdf8e501000000bed73db2cccccccc
514,OK,3809907626,43690,170,5,3,127,4096,83406996929,8154268757,3809907626,3435973836,0,2,14,4096,000002000e000010aaaaaa05037f0010c1c5716b13000000554408e601000000aa9316e3cccccccc
520,OK,3587039195,43690,170,5,3,127,4096,83407998953,8155270781,3587039195,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f0010e90f816b130000007d8e17e601000000dbdfcdd5cccccccc
526,OK,1411973752,43690,170,5,3,127,4096,83408998840,8156270668,1411973752,3435973836,0,6,16,4096,0000060010000010aaaaaa05037f0010b851906b130000004cd026e60100000078022954cccccccc
532,OK,3749795046,43690,170,5,3,127,4096,83409999827,8157271655,3749795046,3435973836,0,6,12,4096,000006000c000010aaaaaa05037f0010d3979f6b13000000671636e601000000e65481dfcccccccc
538,OK,330729446,43690,170,5,3,127,4096,83411000753,8158272581,330729446,3435973836,-2,0,14,4096,feff00000e000010aaaaaa05037f0010b1ddae6b13000000455c45e601000000e687b613cccccccc
544,OK,3539751457,43690,170,5,3,127,4096,83412002855,8159274683,3539751457,3435973836,4,0,16,4096,0400000010000010aaaaaa05037f00102728be6b13000000bba654e6010000002152fcd2cccccccc
550,OK,650125115,43690,170,5,3,127,4096,83413002751,8160274579,650125115,3435973836,-2,0,10,4096,feff00000a000010aaaaaa05037f0010ff69cd6b1300000093e863e6010000003b1fc026cccccccc
