Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,quatX,quatY,quatZ,quatW,ax,ay,az,magX,magY,magZ,calib,stability,PAD,PAD,PAD,
55872,OK,957660119,43690,170,6,4,0,0,66981443618,13852660282,957660119,3435973836,-0.05267334,-0.038879395,0.672973633,0.736755371,-0.13671875,-1.30859375,9.9453125,30.625,7.9375,-35,b'\x00',b'\x00',0,0,0,
55879,OK,1182977583,43690,170,6,4,0,0,66981495120,13852711784,1182977583,3435973836,-0.05267334,-0.038879395,0.672973633,0.736755371,-0.13671875,-1.30859375,9.953125,30.625,7.9375,-35,b'\x00',b'\x00',0,0,0,
55885,OK,980086953,43690,170,6,4,0,0,66981548056,13852764720,980086953,3435973836,-0.05267334,-0.038879395,0.672973633,0.736816406,-0.13671875,-1.30078125,9.92578125,32.375,7.6875,-34,b'\x00',b'\x00',0,0,0,
55890,OK,2533381663,43690,170,6,4,0,0,66981600090,13852816754,2533381663,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.30859375,9.953125,31.25,7.4375,-34,b'\x00',b'\x00',0,0,0,
55897,OK,3575784253,43690,170,6,4,0,0,66981654209,13852870873,3575784253,3435973836,-0.052612305,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.30078125,9.9453125,31.0625,7.6875,-39.4375,b'\x00',b'\x00',0,0,0,
55904,OK,163077147,43690,170,6,4,0,0,66981707024,13852923688,163077147,3435973836,-0.052612305,-0.03894043,0.672973633,0.736816406,-0.15625,-1.30859375,9.93359375,32,8.25,-32.9375,b'\x00',b'\x00',0,0,0,
55910,OK,785423281,43690,170,6,4,0,0,66981759079,13852975743,785423281,3435973836,-0.052612305,-0.03894043,0.672912598,0.736816406,-0.13671875,-1.2890625,9.9609375,30.625,8.5,-36.125,b'\x00',b'\x00',0,0,0,
55915,OK,346507206,43690,170,6,4,0,0,66981811027,13853027691,346507206,3435973836,-0.052612305,-0.038879395,0.672912598,0.736816406,-0.14453125,-1.30078125,9.9453125,32.75,8,-35.1875,b'\x00',b'\x00',0,0,0,
55922,OK,922471196,43690,170,6,4,0,0,66981864238,13853080902,922471196,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.14453125,-1.3203125,9.9609375,31.625,7.6875,-32.9375,b'\x00',b'\x00',0,0,0,
55930,OK,622914151,43690,170,6,4,0,0,66981916779,13853133443,622914151,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.3203125,9.9609375,31.6875,7.6875,-37.25,b'\x00',b'\x00',0,0,0,
55935,OK,1862485230,43690,170,6,4,0,0,66981969077,13853185741,1862485230,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.28125,9.9609375,31.6875,8.25,-35.125,b'\x00',b'\x00',0,0,0,
