Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
83314,OK,3066807947,43690,170,12,5,0,0,67061119896,69513193,3066807947,3435973836,35.3592282,-117.8137287,11957096,-3398,50005,55461,660,2021,4,10,18,5,33,26,3,0,0,0,
83636,OK,3811904993,43690,170,12,5,0,0,67062147897,70541194,3811904993,3435973836,35.3591765,-117.8131591,11904569,-8140,53526,48998,667,2021,4,10,18,5,34,25,3,0,0,0,
83962,OK,2085035582,43690,170,12,5,0,0,67063178847,71572144,2085035582,3435973836,35.3591011,-117.8125785,11855308,-8660,51857,49250,681,2021,4,10,18,5,35,22,3,0,0,0,
84125,OK,2177682404,43690,170,12,5,0,0,67063685993,72079290,2177682404,3435973836,35.3590267,-117.8120132,11802757,-7676,50371,52601,699,2021,4,10,18,5,36,20,3,0,0,0,
84449,OK,3971874445,43690,170,12,5,0,0,67064717932,73111229,3971874445,3435973836,35.3589568,-117.8114602,11749600,-7745,49598,51128,714,2021,4,10,18,5,37,22,3,0,0,0,
84772,OK,933966650,43690,170,12,5,0,0,67065742159,74135456,933966650,3435973836,35.3588671,-117.8109163,11700720,-11950,48873,47455,721,2021,4,10,18,5,38,24,3,0,0,0,
85098,OK,645117988,43690,170,12,5,0,0,67066773893,75167191,645117988,3435973836,35.3587485,-117.8103947,11651505,-14193,45418,49205,704,2021,4,10,18,5,39,24,3,0,0,0,
85422,OK,3804734027,43690,170,12,5,0,0,67067798225,76191523,3804734027,3435973836,35.3586432,-117.809899,11600094,-9084,44150,51584,703,2021,4,10,18,5,40,23,3,0,0,0,
85749,OK,4291453582,43690,170,12,5,0,0,67068834904,77228201,4291453582,3435973836,35.3585759,-117.809388,11549932,-6043,49124,51334,706,2021,4,10,18,5,41,24,3,0,0,0,
86073,OK,1560644359,43690,170,12,5,0,0,67069861942,78255239,1560644359,3435973836,35.3585143,-117.8088467,11500248,-7529,49455,47831,716,2021,4,10,18,5,42,25,3,0,0,0,
86397,OK,1223436272,43690,170,12,5,0,0,67070892996,79286293,1223436272,3435973836,35.3584487,-117.8083086,11454076,-6760,48626,44959,722,2021,4,10,18,5,43,26,3,0,0,0,
