pwr_ctr,az
4.3485,281.97
4.3497,281.98
4.3513,281.97
4.3523,281.98
4.3534,281.99
4.3547,282
4.3559,282.01
4.3571,282.01
4.3583,282.02
4.3594,282.03
4.3606,282.03
4.3618,282.04
4.3629,282.04
4.3639,282.05
4.3649,282.05
4.366,282.06
4.3672,282.06
4.3684,282.07
4.3696,282.07
4.3708,282.08
4.3719,282.08
4.373,282.09
4.3745,282.1
4.376,282.11
4.3772,282.11
4.3784,282.12
4.3796,282.12
4.3808,282.13
4.382,282.14
4.3832,282.14
4.3844,282.14
4.3852,282.14
4.3865,282.16
4.3878,282.17
4.3891,282.16
4.3904,282.17
4.3917,282.18
4.3932,282.19
4.3949,282.19
4.3966,282.2
4.3983,282.22
4.4003,282.22
4.4022,282.24
4.4042,282.25
4.4055,282.24
4.4067,282.24
4.4081,282.26
4.4092,282.26
4.4102,282.26
4.4113,282.27
4.4123,282.27
4.4138,282.28
4.4154,282.29
4.4172,282.31
4.4193,282.31
4.4206,282.32
4.422,282.31
4.423,282.31
4.4242,282.33
4.4254,282.33
4.4265,282.34
4.4277,282.34
4.4289,282.35
4.4301,282.35
4.4313,282.36
4.4325,282.36
4.4336,282.37
4.4348,282.37
4.4359,282.37
4.4369,282.38
4.4383,282.38
4.4398,282.39
4.4416,282.4
4.4429,282.4
4.4448,282.41
4.4466,282.42
4.4485,282.42
4.45,282.43
4.451,282.44
4.4524,282.44
4.4537,282.44
4.4549,282.44
4.4558,282.45
4.4568,282.45
4.4578,282.46
4.4588,282.46
4.4598,282.47
4.4608,282.47
4.4618,282.48
4.4628,282.48
4.4638,282.48
4.4648,282.49
4.4657,282.49
4.4669,282.5
4.468,282.5
4.4692,282.52
4.4708,282.52
4.472,282.5
4.4733,282.52
4.4745,282.53
4.4758,282.52
4.4769,282.52
4.4778,282.54
4.4786,282.54
4.4801,282.54
4.481,282.54
4.4821,282.55
4.4831,282.55
4.4841,282.56
4.4851,282.56
4.4861,282.57
4.4876,282.57
4.4896,282.58
4.4912,282.58
4.4922,282.59
4.4933,282.59
4.4949,282.6
4.4962,282.6
4.4979,282.61
4.4992,282.62
4.5005,282.62
4.5017,282.62
4.5026,282.63
4.5037,282.62
4.5048,282.63
4.5061,282.63
4.5073,282.64
4.5086,282.64
4.5098,282.65
4.5108,282.65
4.5119,282.66
4.5129,282.66
4.5139,282.66
4.515,282.67
4.5159,282.67
4.5169,282.67
4.5179,282.67
4.5188,282.68
4.5199,282.68
4.5209,282.68
4.5219,282.69
4.5232,282.69
4.5245,282.7
4.5262,282.7
4.5276,282.7
4.5287,282.71
4.5299,282.71
4.5311,282.71
4.5328,282.72
4.5337,282.72
4.5347,282.73
4.5356,282.73
4.537,282.73
4.538,282.74
4.539,282.74
4.54,282.74
4.541,282.74
4.5421,282.75
4.5432,282.74
4.5444,282.75
4.5455,282.75
4.5465,282.76
4.5474,282.76
4.5482,282.76
4.5492,282.77
4.5501,282.77
4.5511,282.77
4.5524,282.78
4.554,282.78
4.5561,282.79
4.5581,282.79
4.5597,282.79
4.5614,282.8
4.5628,282.8
4.564,282.81
4.5651,282.81
4.5661,282.81
4.5671,282.82
4.5682,282.82
4.5692,282.82
4.5702,282.82
4.5712,282.83
4.5722,282.83
4.5732,282.83
4.5742,282.83
4.5752,282.84
4.5766,282.84
4.5778,282.84
4.5785,282.85
4.5794,282.84
4.5802,282.85
4.5815,282.85
4.5831,282.86
4.5845,282.85
4.5856,282.86
4.5872,282.86
4.5885,282.87
4.5898,282.87
4.591,282.88
4.5927,282.88
4.5938,282.88
4.5948,282.88
4.5957,282.88
4.5967,282.89
4.5977,282.89
4.5987,282.89
4.5998,282.89
4.6007,282.9
4.6016,282.9
4.6026,282.9
4.6036,282.9
4.6045,282.91
4.6055,282.91
4.6064,282.91
4.6073,282.91
4.6082,282.91
4.6095,282.91
4.6108,282.91
4.6125,282.92
4.6139,282.93
4.6154,282.91
4.6166,282.92
4.6175,282.94
4.6183,282.92
4.6192,282.93
4.6202,282.93
4.6217,282.93
4.6231,282.95
4.6245,282.97
4.626,283.01
4.6278,283.03
4.6289,283.05
4.63,283.07
4.6311,283.1
4.6325,283.14
4.6343,283.15
4.6354,283.18
4.6365,283.21
4.6378,283.23
4.6389,283.24
4.6401,283.27
4.641,283.29
4.642,283.3
4.6428,283.31
4.6437,283.34
4.6451,283.36
4.6462,283.38
4.6476,283.41
4.6487,283.44
4.6497,283.46
4.6506,283.47
4.6515,283.48
4.6524,283.5
4.6533,283.52
4.6542,283.54
4.6554,283.57
4.657,283.59
4.6582,283.62
4.6594,283.64
4.6604,283.66
4.6613,283.67
4.6622,283.69
4.6631,283.71
4.664,283.73
4.6649,283.74
4.6658,283.76
4.6667,283.78
4.6676,283.8
4.6688,283.82
4.67,283.86
4.6717,283.88
4.6727,283.89
4.6737,283.91
4.6746,283.93
4.6755,283.95
4.6764,283.97
4.6773,283.98
4.6782,284
4.6792,284.02
4.6801,284.04
4.6813,284.07
4.6829,284.1
4.6847,284.13
4.6859,284.15
4.6868,284.16
4.6876,284.18
4.6885,284.21
4.6897,284.23
4.691,284.25
4.6922,284.27
4.6931,284.29
4.694,284.31
4.6949,284.32
4.6958,284.34
4.6968,284.36
4.6978,284.39
4.6992,284.42
4.7007,284.44
4.7018,284.46
4.703,284.48
4.704,284.5
4.7049,284.52
4.7058,284.53
4.7067,284.55
4.7076,284.57
4.7085,284.59
4.7094,284.6
4.7102,284.62
4.7111,284.63
4.7119,284.66
4.7131,284.69
4.7146,284.7
4.7155,284.72
4.7168,284.75
4.7179,284.77
4.719,284.79
4.72,284.81
4.7208,284.82
4.7217,284.84
4.7226,284.86
4.7235,284.88
4.7243,284.9
4.7256,284.93
4.7273,284.97
4.7292,285
4.7304,285.02
4.7315,285.04
4.7325,285.06
4.7335,285.07
4.7344,285.09
4.7352,285.11
4.7361,285.12
4.737,285.14
4.7379,285.16
4.7391,285.19
4.7405,285.22
4.7416,285.24
4.7426,285.24
4.7433,285.27
4.7447,285.3
4.7456,285.33
4.7471,285.33
4.7483,285.34
4.7492,285.38
4.7501,285.42
4.7521,285.47
4.7543,285.47
4.7558,285.49
4.7569,285.53
4.758,285.59
4.7607,285.59
4.762,285.63
4.7632,285.66
4.7643,285.7
4.7662,285.71
4.7672,285.72
4.768,285.74
4.7689,285.79
4.7709,285.83
4.773,285.87
4.7751,285.88
4.7759,285.9
4.7768,285.92
4.7781,285.95
4.7795,285.98
4.781,286.01
4.7826,286.04
4.7838,286.06
4.7849,286.08
4.7861,286.11
4.7876,286.14
4.7892,286.18
4.791,286.21
4.7929,286.25
4.7949,286.28
4.796,286.3
4.7969,286.3
4.7981,286.33
4.7992,286.37
4.8005,286.4
4.8019,286.41
4.8028,286.43
4.8037,286.44
4.8045,286.46
4.8053,286.48
4.8062,286.49
4.807,286.51
4.8079,286.53
4.809,286.56
4.8105,286.57
4.8113,286.6
4.8127,286.62
4.8141,286.64
4.8151,286.67
4.8162,286.71
4.8178,286.73
4.8193,286.76
4.8208,286.78
4.8217,286.79
4.8226,286.82
4.8237,286.85
4.825,286.87
4.8264,286.9
4.8278,286.93
4.8288,286.93
4.8296,286.95
4.8308,286.97
4.832,287.02
4.8329,287.01
4.8339,287.03
4.8349,287.05
4.836,287.07
4.8368,287.09
4.8376,287.11
4.8384,287.12
